"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2022","5,172.71","5,160.76","5,191.99","5,131.75","124.87M","-0.12%"
"01/12/2022","5,179.18","5,197.94","5,205.26","5,159.51","136.16M","0.35%"
"30/11/2022","5,161.32","5,141.85","5,164.37","5,121.22","215.25M","0.91%"
"29/11/2022","5,114.66","5,129.93","5,136.17","5,101.15","104.92M","0.00%"
"28/11/2022","5,114.66","5,126.29","5,136.46","5,097.32","117.52M","-0.71%"
"25/11/2022","5,151.27","5,150.13","5,159.00","5,130.32","96.26M","0.07%"
"24/11/2022","5,147.69","5,126.36","5,162.39","5,122.58","150.18M","0.49%"
"23/11/2022","5,122.42","5,122.66","5,124.04","5,094.16","106.89M","0.30%"
"22/11/2022","5,107.04","5,095.51","5,115.81","5,074.13","118.12M","0.34%"
"21/11/2022","5,089.51","5,081.89","5,101.30","5,073.12","118.26M","-0.14%"
"18/11/2022","5,096.53","5,078.17","5,110.41","5,061.84","142.58M","1.01%"
"17/11/2022","5,045.58","5,082.80","5,091.43","5,005.05","128.71M","-0.48%"
"16/11/2022","5,069.83","5,111.01","5,111.75","5,054.74","204.85M","-0.69%"
"15/11/2022","5,105.06","5,103.35","5,135.95","5,088.87","120.11M","0.45%"
"14/11/2022","5,082.08","5,091.47","5,121.88","5,077.55","129.80M","0.18%"
"11/11/2022","5,072.95","5,086.48","5,103.61","5,056.46","169.08M","0.57%"
"10/11/2022","5,044.27","4,915.79","5,056.13","4,906.40","175.85M","2.08%"
"09/11/2022","4,941.68","4,937.10","4,952.52","4,921.82","110.69M","-0.17%"
"08/11/2022","4,950.32","4,909.92","4,957.68","4,899.95","114.55M","0.45%"
"07/11/2022","4,928.33","4,897.12","4,947.18","4,885.82","132.69M","0.09%"
"04/11/2022","4,924.08","4,832.80","4,961.60","4,831.05","177.18M","2.66%"
"03/11/2022","4,796.68","4,772.52","4,797.85","4,755.70","185.46M","-0.56%"
"02/11/2022","4,823.67","4,880.64","4,896.28","4,821.15","131.72M","-0.83%"
"01/11/2022","4,864.05","4,867.37","4,908.64","4,847.30","122.74M","0.91%"
