"Date","Price","Open","High","Low","Vol.","Change %"
"29/01/2020","5,776.7905","5,767.8755","5,819.8784","5,745.5884","5.16K","0.60%"
"28/01/2020","5,742.6172","5,767.8755","5,775.3047","5,674.2700","5.81K","0.16%"
"27/01/2020","5,733.7021","5,717.3584","5,745.5884","5,640.0967","5.45K","-1.28%"
"24/01/2020","5,807.9922","5,825.8218","5,873.3672","5,788.6768","5.04K","0.75%"
"23/01/2020","5,764.9038","5,757.4751","5,788.6768","5,692.0996","4.80K","-0.33%"
"22/01/2020","5,784.2192","5,794.6201","5,816.9072","5,757.4751","3.99K","-0.05%"
"21/01/2020","5,787.1909","5,790.1626","5,797.5918","5,717.3584","2.69K","-0.43%"
"20/01/2020","5,812.4497","5,815.4214","5,843.6514","5,778.2764","2.05K","0.10%"
"17/01/2020","5,806.5063","5,779.7622","5,828.7935","5,773.8188","4.82K","1.19%"
"16/01/2020","5,738.1597","5,791.6484","5,791.6484","5,714.3867","4.37K","-0.54%"
"15/01/2020","5,769.3613","5,764.9038","5,819.8784","5,738.1597","5.21K","-0.05%"
"14/01/2020","5,772.3330","5,815.4214","5,828.7935","5,696.5571","5.43K","-0.66%"
"13/01/2020","5,810.9639","5,868.9102","5,883.7681","5,785.7051","5.30K","-1.26%"
"10/01/2020","5,885.2539","5,802.0488","5,897.1401","5,796.1060","5.81K","2.22%"
"09/01/2020","5,757.4751","5,781.2476","5,818.3926","5,744.1030","5.05K","0.62%"
"08/01/2020","5,721.8159","5,671.2988","5,748.5601","5,637.1250","5.37K","0.03%"
"07/01/2020","5,720.3301","5,534.6050","5,758.9609","5,534.6050","8.95K","3.83%"
"06/01/2020","5,509.3462","5,534.6050","5,550.9487","5,393.4541","6.76K","-1.23%"
"03/01/2020","5,577.6934","5,549.4629","5,601.4658","5,454.3716","6.10K","-0.48%"
"02/01/2020","5,604.4375","5,378.5962","5,622.2671","5,344.4224","8.57K","1.51%"
"31/12/2019","5,521.2329","5,555.4063","5,571.7500","5,515.2896","1.30K","-0.62%"
"30/12/2019","5,555.4063","5,567.2925","5,589.5796","5,539.0625","3.10K","0.00%"
"27/12/2019","5,555.4063","5,654.9546","5,654.9546","5,543.5200","3.22K","-1.42%"
"24/12/2019","5,635.6392","5,573.2358","5,635.6392","5,568.7783","0.84K","1.01%"
"23/12/2019","5,579.1792","5,571.7500","5,653.4692","5,571.7500","3.25K","0.05%"
"20/12/2019","5,576.2075","5,641.5825","5,662.3838","5,576.2075","12.46K","-1.00%"
"19/12/2019","5,632.6680","5,637.1250","5,663.8696","5,599.9800","5.04K","0.00%"
"18/12/2019","5,632.6680","5,559.8638","5,675.7559","5,537.5767","6.37K","1.47%"
"17/12/2019","5,550.9487","5,592.5513","5,599.9800","5,498.9458","5.45K","-0.74%"
"16/12/2019","5,592.5513","5,592.5513","5,643.0684","5,570.2642","5.70K","0.37%"
"13/12/2019","5,571.7500","5,663.8696","5,699.5288","5,571.7500","7.43K","0.32%"
"12/12/2019","5,553.9204","5,605.9233","5,617.8096","5,488.5454","5.87K","-0.66%"
"11/12/2019","5,591.0654","5,650.4976","5,651.9834","5,588.0938","3.53K","-1.23%"
"10/12/2019","5,660.8979","5,634.1538","5,689.1284","5,528.6616","4.83K","-0.24%"
"09/12/2019","5,674.2700","5,628.2104","5,709.9292","5,611.8667","4.38K","1.01%"
"06/12/2019","5,617.8096","5,638.6108","5,669.8130","5,577.6934","7.33K","-0.26%"
"05/12/2019","5,632.6680","5,646.0400","5,686.1567","5,611.8667","5.55K","-0.16%"
"04/12/2019","5,641.5825","5,602.9517","5,663.8696","5,570.2642","4.88K","0.96%"
"03/12/2019","5,588.0938","5,638.6108","5,668.3271","5,533.1191","5.95K","-0.34%"
"02/12/2019","5,607.4092","5,727.7588","5,778.2764","5,586.6079","6.37K","-2.08%"
"29/11/2019","5,726.2734","5,720.3301","5,773.8188","5,712.9009","4.00K","-0.70%"
"28/11/2019","5,766.3896","5,717.3584","5,776.7905","5,703.9863","5.94K","0.41%"
"27/11/2019","5,742.6172","5,757.4751","5,757.4751","5,662.3838","8.04K","-0.26%"
"26/11/2019","5,757.4751","5,671.2988","5,757.4751","5,601.4658","12.01K","1.87%"
"25/11/2019","5,651.9834","5,543.5200","5,706.9580","5,539.0625","8.82K","2.40%"
"22/11/2019","5,519.7471","5,438.0278","5,552.4346","5,417.2266","7.26K","1.67%"
"21/11/2019","5,429.1133","5,341.4512","5,466.2583","5,286.4766","6.66K","0.94%"
"20/11/2019","5,378.5962","5,348.8799","5,403.8545","5,307.2778","5.97K","-0.14%"
"19/11/2019","5,386.0249","5,393.4541","5,451.4004","5,363.7378","4.89K","-0.17%"
"18/11/2019","5,394.9399","5,443.9712","5,460.3149","5,345.9082","5.04K","-0.52%"
"15/11/2019","5,423.1699","5,445.4570","5,479.6304","5,414.2554","4.87K","-0.08%"
"14/11/2019","5,427.6274","5,396.4258","5,427.6274","5,369.6812","4.19K","0.72%"
"13/11/2019","5,388.9966","5,435.0566","5,446.9429","5,366.7095","5.45K","-1.44%"
"12/11/2019","5,467.7441","5,417.2266","5,478.1445","5,390.4824","5.36K","1.10%"
"11/11/2019","5,408.3120","5,399.3970","5,458.8291","5,362.2524","5.81K","0.28%"
"08/11/2019","5,393.4541","5,255.2744","5,393.4541","5,247.8457","7.83K","2.22%"
"07/11/2019","5,276.0757","5,170.5840","5,289.4482","5,169.0981","10.60K","2.45%"
"06/11/2019","5,149.7827","5,111.1519","5,157.2119","5,065.0923","6.61K","0.93%"
"05/11/2019","5,102.2373","5,126.0098","5,163.1548","5,081.4360","5.93K","0.09%"
"04/11/2019","5,097.7798","5,136.4106","5,158.6978","5,068.0640","6.16K","0.23%"
"01/11/2019","5,085.8936","5,158.6978","5,163.1548","5,069.5498","4.53K","-1.38%"
"31/10/2019","5,157.2119","5,155.7261","5,185.4419","5,062.1206","7.61K","0.49%"
"30/10/2019","5,131.9531","5,111.1519","5,137.8965","5,016.0610","9.35K","-0.12%"
"29/10/2019","5,137.8965","5,005.6602","5,166.1265","4,981.8872","8.76K","2.61%"
"28/10/2019","5,007.1460","5,010.1177","5,066.5781","4,993.7739","8.20K","-0.21%"
"25/10/2019","5,017.5464","5,182.4702","5,206.2432","4,996.7456","10.48K","-3.35%"
"24/10/2019","5,191.3853","4,836.2788","5,210.7007","4,655.0112","19.14K","9.87%"
"23/10/2019","4,724.8442","4,799.1338","4,809.5347","4,717.4150","8.69K","-2.36%"
"22/10/2019","4,839.2505","5,007.1460","5,029.4331","4,825.8784","7.95K","-3.50%"
"21/10/2019","5,014.5752","4,867.4810","5,026.4614","4,860.0518","7.73K","3.24%"
"18/10/2019","4,857.0801","4,903.1401","4,965.5435","4,845.1938","6.92K","-0.97%"
"17/10/2019","4,904.6260","4,955.1431","4,986.3447","4,901.6543","5.86K","-1.23%"
"16/10/2019","4,965.5435","4,757.5317","4,984.8589","4,751.5884","7.94K","3.89%"
"15/10/2019","4,779.8184","4,873.4238","4,898.6826","4,748.6167","8.63K","-1.59%"
"14/10/2019","4,857.0801","4,919.4839","4,925.4268","4,791.7051","6.47K","-2.16%"
"11/10/2019","4,964.0576","4,931.3701","4,990.8022","4,888.2822","10.17K","2.08%"
"10/10/2019","4,863.0234","4,748.6167","4,891.2534","4,738.2163","7.26K","2.63%"
"09/10/2019","4,738.2163","4,677.2983","4,753.0742","4,650.5542","4.86K","1.21%"
"08/10/2019","4,681.7559","4,747.1309","4,778.3330","4,652.0400","6.87K","-1.38%"
"07/10/2019","4,747.1309","4,699.5854","4,754.5601","4,680.2700","4.11K","1.01%"
"04/10/2019","4,699.5854","4,675.8125","4,714.4434","4,631.2388","5.05K","1.05%"
"03/10/2019","4,650.5542","4,616.3804","4,692.1563","4,564.3774","5.47K","0.55%"
"02/10/2019","4,625.2954","4,799.1338","4,800.6196","4,607.4658","6.87K","-3.56%"
"01/10/2019","4,796.1626","4,839.2505","4,894.2251","4,776.8472","5.35K","-0.19%"
"30/09/2019","4,805.0771","4,843.7080","4,854.1084","4,797.6484","4.97K","-1.13%"
"27/09/2019","4,860.0518","4,816.9634","4,865.9951","4,813.9922","3.84K","1.24%"
"26/09/2019","4,800.6196","4,813.9922","4,867.4810","4,773.8755","5.05K","-0.43%"
"25/09/2019","4,821.4209","4,855.5942","4,873.4238","4,756.0459","5.91K","-1.22%"
"24/09/2019","4,880.8530","4,796.1626","4,891.2534","4,760.5034","5.54K","1.89%"
"23/09/2019","4,790.2192","4,910.5688","4,926.9126","4,757.5317","7.25K","-1.23%"
"20/09/2019","4,849.6514","4,836.2788","4,874.9097","4,781.3042","12.22K","-0.06%"
"19/09/2019","4,852.6226","4,727.8154","4,852.6226","4,709.9858","6.22K","3.00%"
"18/09/2019","4,711.4717","4,934.3418","4,958.1147","4,672.8408","13.58K","-4.83%"
"17/09/2019","4,950.6855","4,874.9097","4,971.4868","4,846.6797","5.71K","1.77%"
"16/09/2019","4,864.5093","4,925.4268","4,926.9126","4,863.0234","6.44K","-1.36%"
"13/09/2019","4,931.3701","4,986.3447","5,041.3193","4,906.1118","5.55K","-1.22%"
"12/09/2019","4,992.2881","5,020.5181","5,048.7485","4,916.5122","5.54K","0.06%"
"11/09/2019","4,989.3164","5,014.5752","5,074.0068","4,977.4302","4.52K","-0.27%"
"10/09/2019","5,002.6885","5,097.7798","5,105.2090","4,972.9727","5.32K","-1.81%"
"09/09/2019","5,094.8081","5,191.3853","5,209.2148","5,090.3506","3.94K","-1.66%"
"06/09/2019","5,180.9844","5,201.7856","5,234.4736","5,157.2119","2.91K","-0.49%"
"05/09/2019","5,206.2432","5,128.9814","5,224.0728","5,124.5244","4.77K","1.92%"
"04/09/2019","5,108.1802","5,053.2056","5,121.5527","5,036.8618","3.77K","1.60%"
"03/09/2019","5,027.9473","5,057.6631","5,057.6631","4,987.8306","3.66K","-0.73%"
"02/09/2019","5,065.0923","5,105.2090","5,123.0386","5,048.7485","2.90K","-1.02%"
"30/08/2019","5,117.0952","5,036.8618","5,134.9248","5,036.8618","4.84K","1.56%"
"29/08/2019","5,038.3477","4,956.6289","5,045.7769","4,932.8560","4.07K","1.62%"
"28/08/2019","4,958.1147","5,010.1177","5,010.1177","4,906.1118","4.03K","-0.95%"
"27/08/2019","5,005.6602","5,013.0894","5,045.7769","4,959.6006","5.74K","0.09%"
"26/08/2019","5,001.2026","4,970.0010","5,026.4614","4,928.3984","2.98K","0.39%"
"23/08/2019","4,981.8872","5,090.3506","5,134.9248","4,981.8872","4.43K","-1.58%"
"22/08/2019","5,062.1206","5,149.7827","5,149.7827","5,059.1489","3.99K","-1.96%"
